Date,,Bicenntenial Bikeway,Bicentennial Bikeway Pedestrians Inbound,Bicentennial Bikeway Pedestrians Outbound,Bicentennial Bikeway Cyclists Inbound,Bicentennial Bikeway Cyclists Outbound,Bishop Street Enoggera,Bishop Street Pedestrians Inbound,Bishop Street Pedestrians Outbound,Bishop Street Cyclists Inbound,Bishop Street Cyclists Outbound,Ekibin Park,Ekibin Park Pedestrians Inbound,Ekibin Park Pedestrians Outbound,Ekibin Park Cyclists Inbound,Ekibin Park Cyclists Outbound,Eleanor Schonell Bridge Cyclists,Eleanor Schonell Bridge Cyclists Inbound,Eleanor Schonell Bridge Cyclists Outbound,Eleanor Schonell Bridge Pedestrians,Eleanor Schonell Bridge Pedestrians Inbound,Eleanor Schonell Bridge Pedestrians Outbound,Go Between Bridge Cyclists,Go Between Bridge Cyclists Inbound,Go Between Bridge Cyclists Outbound,Go Between Bridge Pedestrians,Go Between Bridge Pedestrians Inbound,Go Between Bridge Pedestrians Outbound,Granville Street Bridge,Granville Street Bridge Pedestrians Inbound,Granville Street Bridge Pedestrians Outbound,Granville Street Bridge Cyclists Inbound,Granville Street Bridge Cyclists Outbound,Jack Pesch Bridge,Jack Pesch Bridge Pedestrians Inbound,Jack Pesch Bridge Pedestrians Outbound,Jack Pesch Bridge Cyclists Outbound,Jack Pesch Bridge Cyclists Inbound,Kangaroo Point Bikeway,Kangaroo Point Bikeway Pedestrians Inbound,Kangaroo Point Bikeway Pedestrians Outbound,Kangaroo Point Bikeway Cyclists Inbound,Kangaroo Point Bikeway Cyclists Outbound,Kedron Brook Bikeway Lutwyche,Kedron Brook Bikeway Lutwyche Pedestrians Inbound,Kedron Brook Bikeway Lutwyche Pedestrians Outbound,Kedron Brook Bikeway Lutwyche Cyclists Inbound,Kedron Brook Bikeway Lutwyche Cyclists Outbound,Kedron Brook Bikeway Mitchelton,Kedron Brook Bikeway Mitchelton Pedestrian Inbound,Kedron Brook Bikeway Mitchelton Pedestrian Outbound,Kedron Brook Bikeway Mitchelton Cyclist Inbound,Kedron Brook Bikeway Mitchelton Cyclist Outbound,Lambert Road Indooroopilly,Lambert Road Indooroopilly Cyclists Inbound,Lambert Road Indooroopilly Cyclists Outbound,Norman Park,Norman Park Pedestrians Inbound,Norman Park Pedestrians Outbound,Norman Park Cyclists Inbound,Norman Park Cyclists Outbound,North Brisbane Bikeway Windsor,North Brisbane Bikeway Mann Park Windsor Pedestrian Inbound,North Brisbane Bikeway Mann Park Windsor Pedestrian Outbound,North Brisbane Bikeway Mann Park Windsor Cyclists Inbound,North Brisbane Bikeway Mann Park Windsor Cyclists Outbound,Riverwalk,Riverwalk Pedestrians Inbound,Riverwalk Pedestrians Outbound,Riverwalk Cyclists Inbound,Riverwalk Cyclists Outbound,Schulz Canal Bridge,Schulz Canal Bridge Pedestrians Inbound,Schulz Canal Bridge Pedestrians Outbound,Schulz Canal Bridge Cyclists Inbound,Schulz Canal Bridge Cyclists Outbound,Stanley Street Cyclists,Stanley Street Cyclists Inbound,Stanley Street Cyclists Outbound,Stanley Street on-road Cyclists Inbound,Story Bridge East ,Story Bridge East Pedestrian Inbound,Story Bridge East Pedestrian Outbound,Story Bridge East Cyclists Inbound,Story Bridge East Cyclists Outbound,Story Bridge West ,Story Bridge West Pedestrian Inbound,Story Bridge West Pedestrian Outbound,Story Bridge West Cyclists Inbound,Story Bridge West Cyclists Outbound
1/01/2014,0:00,3333,866,1326,569,572,,,,,,,,,,,691,301,390,474,248,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,1,0,92,56,,,,,0,0,0,0,0,0,0,0,0,0
2/01/2014,0:00,4863,1372,2133,658,700,,,,,,,,,,,1020,473,547,798,413,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,31,28,123,65,,,,,0,0,0,0,0,0,0,0,0,0
3/01/2014,0:00,3905,1163,1867,463,412,,,,,,,,,,,931,442,489,635,336,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,23,23,77,78,,,,,0,0,0,0,0,0,0,0,0,0
4/01/2014,0:00,3066,770,1522,410,364,,,,,,,,,,,574,245,329,387,196,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,12,17,57,38,,,,,0,0,0,0,0,0,0,0,0,0
5/01/2014,0:00,4550,1153,2102,654,641,,,,,,,,,,,941,398,543,570,300,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,18,32,92,85,,,,,0,0,0,0,0,0,0,0,0,0
6/01/2014,0:00,3766,1405,1576,415,370,,,,,,,,,,,1087,528,559,908,469,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,28,21,63,57,,,,,0,0,0,0,0,0,0,0,0,0
7/01/2014,0:00,5906,1697,2429,854,926,,,,,,,,,,,1461,718,743,1289,661,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,55,41,82,67,,,,,0,0,0,0,0,0,0,0,0,0
8/01/2014,0:00,6248,2020,2832,679,717,,,,,,,,,,,1553,712,841,1253,641,612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,107,85,101,87,,,,,0,0,0,0,0,26,13,10,2,1
9/01/2014,0:00,5824,1732,2412,813,867,,,,,,,,,,,1436,672,764,1468,743,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,113,74,95,94,,,,,1154,610,544,0,0,939,532,407,0,0
10/01/2014,0:00,4479,1478,1938,528,535,,,,,,,,,,,1251,574,677,1280,667,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,90,42,104,75,,,,,5,1,4,0,0,21,20,1,0,0
11/01/2014,0:00,5215,1380,2525,671,639,,,,,,,,,,,1076,459,617,757,387,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,21,19,79,72,,,,,0,0,0,0,0,23,18,5,0,0
12/01/2014,0:00,5346,1431,2597,659,659,,,,,,,,,,,1283,656,627,819,427,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447,158,41,127,121,,,,,0,0,0,0,0,0,0,0,0,0
13/01/2014,0:00,6386,1998,2539,862,987,,,,,,,,,,,1622,769,853,1571,819,752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304,77,48,97,82,,,,,2,2,0,0,0,63,54,9,0,0
14/01/2014,0:00,7214,2270,3160,837,947,,,,,,,,,,,1878,874,1004,1586,831,755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376,112,48,122,94,,,,,1,0,1,0,0,9,7,2,0,0
15/01/2014,0:00,6840,2210,2976,779,875,,,,,,,,,,,1716,788,928,1456,765,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,43,30,108,88,,,,,0,0,0,0,0,5,5,0,0,0
16/01/2014,0:00,6426,2031,2799,758,838,,,,,,,,,,,1792,835,957,1505,782,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,35,30,85,82,,,,,0,0,0,0,0,0,0,0,0,0
17/01/2014,0:00,5251,1647,2445,580,579,,,,,,,,,,,1445,621,824,1241,667,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247,55,42,86,64,,,,,2,2,0,0,0,7,7,0,0,0
18/01/2014,0:00,5288,1434,2620,615,619,,,,,,,,,,,1131,485,646,790,402,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,60,35,86,105,,,,,0,0,0,0,0,0,0,0,0,0
19/01/2014,0:00,5470,1480,2666,665,659,,,,,,,,,,,1140,511,629,762,382,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,31,26,69,72,,,,,0,0,0,0,0,0,0,0,0,0
20/01/2014,0:00,6387,2069,2627,799,892,,,,,,,,,,,1560,725,835,1451,761,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,84,31,100,76,,,,,0,0,0,0,0,10,10,0,0,0
21/01/2014,0:00,6800,2223,2989,792,796,,,,,,,,,,,1798,877,921,1335,706,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,54,48,109,86,,,,,0,0,0,0,0,6,6,0,0,0
22/01/2014,0:00,5789,1935,2675,587,592,,,,,,,,,,,1634,787,847,1162,609,553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,31,30,101,81,,,,,0,0,0,0,0,0,0,0,0,0
23/01/2014,0:00,3735,1426,1605,401,303,,,,,,,,,,,1190,625,565,1143,598,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,71,17,47,56,,,,,0,0,0,0,0,0,0,0,0,0
24/01/2014,0:00,4149,1234,1801,543,571,,,,,,,,,,,1146,517,629,1390,733,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,34,23,62,43,,,,,0,0,0,0,0,0,0,0,0,0
25/01/2014,0:00,4328,1084,2051,577,616,,,,,,,,,,,1011,472,539,867,434,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,22,20,91,88,,,,,0,0,0,0,0,0,0,0,0,0
26/01/2014,0:00,4642,1259,2180,589,614,,,,,,,,,,,915,432,483,749,366,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,13,19,66,66,,,,,0,0,0,0,0,0,0,0,0,0
27/01/2014,0:00,5249,1395,2352,764,738,,,,,,,,,,,1172,552,620,991,499,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,81,28,97,114,,,,,0,0,0,0,0,0,0,0,0,0
28/01/2014,0:00,5883,1887,2473,722,801,,,,,,,,,,,1637,808,829,1790,913,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,23,20,80,68,,,,,0,0,0,0,0,0,0,0,0,0
29/01/2014,0:00,6697,2136,2945,774,842,,,,,,,,,,,1755,829,926,1693,852,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,28,28,93,66,,,,,0,0,0,0,0,0,0,0,0,0
30/01/2014,0:00,6511,2094,2927,716,774,,,,,,,,,,,1866,913,953,1628,838,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,21,24,95,83,,,,,0,0,0,0,0,0,0,0,0,0
31/01/2014,0:00,5611,1721,2750,570,570,,,,,,,,,,,1634,795,839,1409,750,659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,22,22,86,72,,,,,0,0,0,0,0,0,0,0,0,0
1/02/2014,0:00,5638,1519,2731,690,698,,,,,,,,,,,1209,566,643,940,478,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,25,21,110,93,,,,,0,0,0,0,0,0,0,0,0,0
2/02/2014,0:00,6099,1623,2864,815,797,,,,,,,,,,,1259,549,710,1011,520,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,28,31,120,92,,,,,0,0,0,0,0,1,1,0,0,0
3/02/2014,0:00,5863,1982,2251,750,880,,,,,,,,,,,1604,781,823,1748,901,847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,29,15,82,75,,,,,0,0,0,0,0,0,0,0,0,0
4/02/2014,0:00,7611,2498,3349,821,943,,,,,,,,,,,1971,946,1025,1652,844,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,39,16,94,74,,,,,0,0,0,0,0,0,0,0,0,0
5/02/2014,0:00,6363,2233,2915,584,631,,,,,,,,,,,1786,857,929,1520,798,722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,25,27,83,74,,,,,0,0,0,0,0,0,0,0,0,0
6/02/2014,0:00,6920,2215,3017,791,897,,,,,,,,,,,1790,849,941,1766,896,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,27,25,75,69,,,,,0,0,0,0,0,0,0,0,0,0
7/02/2014,0:00,6140,1903,2895,657,685,,,,,,,,,,,1698,794,904,1585,807,778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,27,21,84,74,,,,,0,0,0,0,0,0,0,0,0,0
8/02/2014,0:00,5518,1528,2758,609,623,,,,,,,,,,,1119,548,571,868,434,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,16,20,79,67,,,,,0,0,0,0,0,0,0,0,0,0
9/02/2014,0:00,5872,1516,2838,777,741,,,,,,,,,,,1263,584,679,1006,512,494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,22,26,111,95,,,,,0,0,0,0,0,0,0,0,0,0
10/02/2014,0:00,6576,2207,2663,772,934,,,,,,,,,,,1735,838,897,1650,871,779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,29,27,74,69,,,,,0,0,0,0,0,0,0,0,0,0
11/02/2014,0:00,7386,2428,3265,806,887,,,,,,,,,,,1997,991,1006,1845,943,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,38,31,97,90,,,,,0,0,0,0,0,0,0,0,0,0
12/02/2014,0:00,7304,2425,3229,781,869,,,,,,,,,,,1857,882,975,1646,853,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311,59,33,118,101,,,,,0,0,0,0,0,0,0,0,0,0
13/02/2014,0:00,6605,2196,2915,684,810,,,,,,,,,,,1965,965,1000,1631,847,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,46,40,137,107,,,,,0,0,0,0,0,0,0,0,0,0
14/02/2014,0:00,5696,1852,2707,552,585,,,,,,,,,,,1526,706,820,1735,955,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,39,50,84,75,,,,,0,0,0,0,0,0,0,0,0,0
15/02/2014,0:00,5085,1353,2503,629,600,,,,,,,,,,,1050,462,588,684,345,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,28,23,81,62,,,,,0,0,0,0,0,0,0,0,0,0
16/02/2014,0:00,5060,1394,2481,616,569,,,,,,,,,,,1199,556,643,733,355,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,25,24,82,70,,,,,0,0,0,0,0,0,0,0,0,0
17/02/2014,0:00,6150,2126,2481,755,788,,,,,,,,,,,1680,805,875,1584,827,757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,60,50,98,84,,,,,0,0,0,0,0,0,0,0,0,0
18/02/2014,0:00,4826,1592,1810,663,761,,,,,,,,,,,1371,666,705,1819,952,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261,46,26,107,82,,,,,0,0,0,0,0,0,0,0,0,0
19/02/2014,0:00,6880,2356,3056,690,778,,,,,,,,,,,1897,898,999,1608,844,764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291,57,38,103,93,,,,,0,0,0,0,0,0,0,0,0,0
20/02/2014,0:00,6103,2024,2711,651,717,,,,,,,,,,,1856,922,934,1554,847,707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,35,33,108,82,,,,,0,0,0,0,0,0,0,0,0,0
21/02/2014,0:00,5358,1763,2609,499,487,,,,,,,,,,,1603,755,848,1301,707,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,13,14,75,54,,,,,0,0,0,0,0,0,0,0,0,0
22/02/2014,0:00,4690,1298,2167,619,606,,,,,,,,,,,990,443,547,982,487,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174,16,28,71,59,,,,,0,0,0,0,0,0,0,0,0,0
23/02/2014,0:00,5637,1423,2569,847,798,,,,,,,,,,,1322,592,730,1047,529,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,21,18,68,61,,,,,0,0,0,0,0,0,0,0,0,0
24/02/2014,0:00,5634,1879,2157,758,840,,,,,,,,,,,1654,786,868,2155,1122,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,33,21,66,60,,,,,0,0,0,0,0,0,0,0,0,0
25/02/2014,0:00,7042,2285,2943,867,947,,,,,,,,,,,2125,1068,1057,2270,1168,1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,37,30,105,88,,,,,0,0,0,0,0,0,0,0,0,0
26/02/2014,0:00,7416,2438,3257,799,922,,,,,,,,,,,2215,1095,1120,2642,1445,1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,26,23,116,88,,,,,0,0,0,0,0,0,0,0,0,0
27/02/2014,0:00,6792,2317,2930,733,812,,,,,,,,,,,2158,1048,1110,1888,998,890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,32,29,98,81,,,,,0,0,0,0,0,0,0,0,0,0
28/02/2014,0:00,5153,1638,2373,557,585,,,,,,,,,,,1680,813,867,1830,977,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,25,26,94,80,,,,,0,0,0,0,0,0,0,0,0,0
1/03/2014,0:00,5190,1314,2513,688,675,,,,,,,,,,,1215,531,684,1142,602,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,89,25,73,61,,,,,0,0,0,0,0,0,0,0,0,0
2/03/2014,0:00,5823,1508,2679,822,814,,,,,,,,,,,1373,670,703,1234,630,604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,50,29,79,66,,,,,0,0,0,0,0,0,0,0,0,0
3/03/2014,0:00,5569,1902,2252,665,750,,,,,,,,,,,1986,967,1019,3349,1718,1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,34,32,80,66,,,,,0,0,0,0,0,0,0,0,0,0
4/03/2014,0:00,5784,1885,2327,740,832,,,,,,,,,,,2325,1146,1179,3450,1782,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253,83,40,71,59,,,,,0,0,0,0,0,0,0,0,0,0
5/03/2014,0:00,5383,1765,2185,653,780,,,,,,,,,,,2211,1086,1125,3296,1693,1603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,72,15,65,62,,,,,0,0,0,0,0,0,0,0,0,0
6/03/2014,0:00,7172,2348,3182,789,853,,,,,,,,,,,2717,1337,1380,3334,1733,1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,118,25,103,106,,,,,0,0,0,0,0,0,0,0,0,0
7/03/2014,0:00,5818,1915,2717,593,593,,,,,,,,,,,2177,1030,1147,2595,1385,1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,27,25,84,68,,,,,0,0,0,0,0,0,0,0,0,0
8/03/2014,0:00,4541,1185,2063,644,649,,,,,,,,,,,1246,620,626,1227,604,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,18,17,71,57,,,,,0,0,0,0,0,0,0,0,0,0
9/03/2014,0:00,5083,1349,2334,696,704,,,,,,,,,,,1239,579,660,1225,634,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,21,12,81,66,,,,,0,0,0,0,0,0,0,0,0,0
10/03/2014,0:00,5748,1908,2218,750,872,,,,,,,,,,,2331,1137,1194,3336,1723,1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245,116,20,59,50,,,,,0,0,0,0,0,0,0,0,0,0
11/03/2014,0:00,5664,1812,2260,711,881,,,,,,,,,,,2183,1108,1075,3480,1793,1687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,37,12,74,78,,,,,0,0,0,0,0,0,0,0,0,0
12/03/2014,0:00,7233,2511,3108,766,848,,,,,,,,,,,2750,1339,1411,3378,1745,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,49,27,88,82,,,,,0,0,0,0,0,0,0,0,0,0
13/03/2014,0:00,6666,2192,2977,704,793,,,,,,,,,,,2742,1351,1391,3320,1735,1585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,94,20,99,93,,,,,0,0,0,0,0,0,0,0,0,0
14/03/2014,0:00,5666,1935,2591,572,568,,,,,,,,,,,2223,1056,1167,2693,1434,1259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,65,22,85,74,,,,,0,0,0,0,0,0,0,0,0,0
15/03/2014,0:00,5030,1349,2326,684,671,,,,,,,,,,,1282,589,693,1138,580,558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,39,10,53,45,,,,,0,0,0,0,0,0,0,0,0,0
16/03/2014,0:00,5014,1350,2282,698,684,,,,,,,,,,,1361,631,730,1076,556,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,19,11,73,69,,,,,0,0,0,0,0,0,0,0,0,0
